,name,artists,peak_position,weeks_on_chart,week,date,genre,features
44667,Unstoppable,Rascal Flatts,52.0,18.0,6/17/10,4-Jan-10,"Country,Rock",
44671,Tell Me Something Good,Glee Cast,,,6/17/10,18-May-10,"TV,Screen,Soundtrack,Cover,Pop",
44677,Loser,Glee Cast,,,6/17/10,8-Mar-11,"Screen,Soundtrack,Bassline,Pop",
44679,Dirty Picture,Taio Cruz,,,6/17/10,5-Apr-10,Pop,Ke$ha
44682,Roger That,Young Money,56.0,11.0,6/17/10,23-Mar-10,"East Coast,West Coast,Rap",
44723,Say Aah,Trey Songz,9.0,29.0,6/10/10,11-Dec-10,"R&;B,Rap",Fabolous
44725,All The Right Moves,OneRepublic,18.0,34.0,6/10/10,29-Sep-09,"Pop,Pop-Rock,Rock",
44726,Carry Out,Timbaland,11.0,26.0,6/10/10,8-Dec-09,"Pop,Rap",Justin Timberlake
44735,Up To The Mountain,Crystal Bowersox,,,6/10/10,,Pop,
44736,American Honey,Lady Antebellum,25.0,20.0,6/10/10,11-Jan-10,"Country,Rock",
44748,Beth,Glee Cast,,,6/10/10,18-May-10,"TV,Cover,Screen,Soundtrack,Pop",
44757,Leave Right Now,Will Young,,,6/10/10,24-Nov-03,Pop,
44761,Ain't Back Yet,Kenny Chesney,50.0,13.0,6/10/10,9-Feb-10,"Country,Rock",
44762,Highway 20 Ride,Zac Brown Band,40.0,20.0,6/10/10,18-Nov-08,"Country,Rock",
44765,Dream On,Glee Cast,26.0,2.0,6/10/10,18-May-10,"Rock,TV,Cover,Screen,Soundtrack,Pop",Neil Patrick Harris
44766,Who Dat,J. Cole,,,6/10/10,31-May-10,Rap,
44770,Jessie's Girl,Glee Cast,23.0,3.0,6/10/10,,"TV,Soundtrack,Screen,Pop-Rock,Rock,Cover,Pop",
44773,Super High,Rick Ross,,,6/10/10,,Rap,Ne
44844,Neutron Star Collision,Muse,,,6/3/10,17-May-10,"Screen,Soundtrack,Indie Rock,Alternative,Alternative Rock,Rock",
44848,Safety Dance,Glee Cast,,,6/3/10,18-May-10,"Cover,TV,Screen,Soundtrack,Electro-Pop,Pop",
44856,Steady Mobbin',Young Money,48.0,20.0,6/3/10,11-Jun-09,"Producer,Rap",Gucci Mane
44857,Hell On The Heart,Eric Church,67.0,12.0,6/3/10,12-Oct-09,"Country,Rock",
44858,Blah Blah Blah,Ke$ha,7.0,20.0,6/3/10,1-Jan-10,"Electro-Pop,Dance-Pop,Rap,Pop",3OH!3
44859,Pyramid,Charice,56.0,2.0,6/3/10,,Rock,Iyaz
44860,A Little More Country Than That,Easton Corbin,42.0,20.0,6/3/10,2-Mar-10,Country,
44863,Today Was A Fairytale,Taylor Swift,2.0,18.0,6/3/10,9-Feb-12,"Country,Pop",
44864,Window Seat,Erykah Badu,95.0,3.0,6/3/10,5-Feb-10,"Neo Soul,Soul,R&;B",
44865,Backwoods,Justin Moore,69.0,13.0,6/3/10,19-Oct-09,"Country,Rock",
44904,Naturally,"Selena Gomez, The Scene",29.0,21.0,5/27/10,29-Sep-09,"Disco,Electro-Pop,Teen Pop,Dance-Pop,Pop",
44909,BedRock,Young Money,2.0,25.0,5/27/10,13-Nov-09,"West Coast,Canada,East Coast,Motown,R&;B,Pop,Rap",Lloyd
44912,Live Like We're Dying,Kris Allen,18.0,29.0,5/27/10,25-Sep-09,"Adult Alternative,Adult Contemporary,Alternative Rock,Christian,Pop-Rock,Rock,Pop",
44934,Total Eclipse Of The Heart,Glee Cast,16.0,2.0,5/27/10,18-May-10,"TV,Screen,Cover,Soundtrack,Pop",Jonathan Groff
44937,Drop The World,Lil Wayne,18.0,20.0,5/27/10,2-Feb-10,Rap,Eminem
44938,The Boy Is Mine,Glee Cast,,,5/27/10,4-Dec-09,"TV,Screen,Soundtrack,R&;B,Cover,Pop",
44943,Lady Is A Tramp,Glee Cast,,,5/27/10,18-May-10,"TV,Cover,Screen,Soundtrack,Pop",
44944,I'm Single,Lil Wayne,,,5/27/10,27-Sep-10,Rap,
44954,Rose's Turn,Glee Cast,,,5/27/10,18-May-10,"Musicals,TV,Screen,Cover,Soundtrack,Pop",
44955,I'm Awesome,Spose,37.0,9.0,5/27/10,28-Oct-09,Rap,
44957,Gypsy,Shakira,65.0,3.0,5/27/10,26-Mar-10,"Folk,Pop",
44959,Fistful Of Tears,Maxwell,94.0,4.0,5/27/10,19-Jan-10,"Soul,R&;B",
44960,All I Ever Wanted,Kelly Clarkson,96.0,6.0,5/27/10,9-Mar-09,"Pop-Rock,Pop",
45006,Sexy Chick,David Guetta,5.0,40.0,5/20/10,1-Sep-09,Pop,Akon
45017,Run Joey Run,Glee Cast,,,5/20/10,14-Sep-10,"Soundtrack,TV,Screen,Cover,Pop",Jonathan Groff
45030,Ice Ice Baby,Glee Cast,,,5/20/10,,"TV,Cover,Soundtrack,Screen,Rap,Pop",
45042,Hillbilly Bone,Blake Shelton,40.0,20.0,5/20/10,,Country,Trace Adkins
45044,Physical,Glee Cast,,,5/20/10,10-May-10,"TV,Soundtrack,Screen,Remix,Cover,Pop",Olivia Newton
45046,U Can't Touch This,Glee Cast,,,5/20/10,4-May-10,"TV,Soundtrack,Screen,R&;B,Cover,Pop",
45047,Temporary Home,Carrie Underwood,41.0,20.0,5/20/10,20-Oct-09,Country,
45048,When I Look At You,Miley Cyrus,16.0,13.0,5/20/10,26-Mar-10,Pop,
45053,All Or Nothing,Theory Of A Deadman,,,5/20/10,2-Jun-08,Rock,
45054,Give Me A Sign,Breaking Benjamin,97.0,5.0,5/20/10,29-Sep-09,"Post-Grunge,Alternative Metal,Rock",
45098,How Low,Ludacris,6.0,21.0,5/13/10,8-Dec-09,Rap,
45104,One Less Bell To Answer / A House Is Not A Home,Glee Cast,,,5/13/10,18-May-10,"TV,Soundtrack,Screen,Cover,Mashup,Pop",Kristin Chenoweth
45121,A House Is Not A Home,Glee Cast,,,5/13/10,18-May-10,"TV,Soundtrack,Screen,Cover,Mashup,Pop",
45142,Halfway There,Big Time Rush,,,5/13/10,13-Oct-10,"Pop,West Coast,Electro-Pop,Dance-Pop,Boy Band",
45144,Like A Prayer,Glee Cast,27.0,2.0,5/13/10,20-Apr-10,"Rock,TV,Screen,Soundtrack,Cover,Pop",Jonathan Groff
45146,Love King,The,92.0,3.0,5/13/10,29-Jun-10,"Soul,Pop,R&;B,Rap",
45148,New Morning,Alpha Rev,,,5/13/10,25-Apr-10,"Adult Alternative,Indie Rock,Rock",
45193,According To You,Orianthi,17.0,21.0,5/6/10,6-Oct-09,"Rock,Pop-Rock",
45197,Heartbreak Warfare,John Mayer,34.0,20.0,5/6/10,19-Oct-09,Rock,
45204,Halfway Gone,Lifehouse,50.0,20.0,5/6/10,27-Oct-09,Rock,
45216,Bet I,B.o.B,,,5/6/10,20-Apr-10,Rap,"T.I., Playboy Tre"
45222,Borderline / Open Your Heart,Glee Cast,,,5/6/10,20-Apr-10,"TV,Cover,Screen,Soundtrack,Pop",
45229,Lemonade,Gucci Mane,53.0,12.0,5/6/10,7-Dec-09,"Atlanta,Trap,Rap",
45230,Like A Virgin,Glee Cast,,,5/6/10,20-Apr-10,"Screen,TV,Soundtrack,Cover,Pop",
45232,4 Minutes,Glee Cast,,,5/6/10,20-Apr-10,"TV,Dance-Pop,Dance,Cover,Screen,Soundtrack,Pop",
45233,Still,Tim McGraw,,,5/6/10,20-Oct-09,"Country,Rock",
45234,Gives You Hell,Glee Cast,32.0,2.0,5/6/10,18-May-10,"Screen,Soundtrack,TV,Cover,Pop",
45241,O Let's Do It,Waka Flocka Flame,62.0,11.0,5/6/10,14-Jan-09,Rap,
45242,Sex Therapy,Robin Thicke,54.0,19.0,5/6/10,20-Oct-09,"R&;B,Pop",
45298,Life After You,Daughtry,36.0,20.0,4/29/10,10-Nov-09,Rock,
45303,"Hello, I Love You",Glee Cast,,,4/29/10,4-Dec-09,"TV,Soundtrack,Screen,Rock,Cover,Pop",
45320,Fearless,Taylor Swift,9.0,15.0,4/29/10,11-Nov-08,"Pop Country,Country,Pop",
45327,All The Way Turnt Up,Roscoe Dash,46.0,12.0,4/29/10,2-Jan-10,Rap,Soulja Boy Tell'em
45331,Just Breathe,Pearl Jam,78.0,14.0,4/29/10,31-Oct-09,"Adult Alternative,Acoustic,Ballad,Rock",
45334,On To The Next One,Jay,37.0,14.0,4/29/10,8-Sep-09,Rap,
45335,That's How Country Boys Roll,Billy Currington,57.0,20.0,4/29/10,14-Oct-08,"Country,Rock",
45380,Tie Me Down,New Boyz,22.0,26.0,4/22/10,15-Sep-09,Rap,Ray J
45398,Don't Let Me Fall,B.o.B,,,4/22/10,5-Apr-10,Rap,
45423,"Women Lie, Men Lie",Yo Gotti,81.0,7.0,4/22/10,12-Jan-10,Rap,Lil Wayne
45429,4 My Town,Birdman,90.0,3.0,4/22/10,7-Dec-09,"Canada,Rap","Drake, Lil Wayne"
45478,You Belong With Me,Taylor Swift,2.0,50.0,4/15/10,11-Nov-08,"Pop Country,Country,Pop",
45487,Someday,Rob Thomas,59.0,22.0,4/15/10,30-Jun-09,Pop,
45496,Hard,Rihanna,8.0,20.0,4/15/10,10-Nov-09,"Trap,Rap",Jeezy
45517,Try Sleeping With A Broken Heart,Alicia Keys,27.0,20.0,4/15/10,17-Nov-09,"R&;B,Soul,Soul Pop,Pop",
45525,It Kills Me,Melanie Fiona,43.0,20.0,4/15/10,26-Jun-09,Pop,
45584,Why Don't We Just Dance,Josh Turner,35.0,20.0,4/8/10,9-Feb-10,"Country,Rock",
45599,Reverse Cowgirl,T,,,4/8/10,,"R&;B,Rap",
45613,I Wanna Rock,Snoop Dogg,41.0,15.0,4/8/10,26-Jan-10,Rap,
45614,Soldier Of Love,Sade,52.0,11.0,4/8/10,8-Dec-09,"Soul Pop,Rock,Soul,Pop,R&;B",
45616,That Should Be Me,Justin Bieber,,,4/8/10,30-Jan-10,"Canada,Pop",
45670,Fireflies,Owl City,1.0,31.0,4/1/10,14-Jul-09,"Synth-Pop,Electronic,Memes,Pop",
45671,Whatcha Say,Jason Derulo,1.0,32.0,4/1/10,5-Aug-09,"Pop,R&;B",
45678,Do You Remember,Jay Sean,10.0,20.0,4/1/10,3-Nov-09,"R&;B,Rap","Sean Paul, Lil Jon"
45702,The Truth,Jason Aldean,40.0,20.0,4/1/10,7-Apr-09,"Country,Rock",
45705,Make A Wave,Disney's Friends For Change,,,4/1/10,26-Feb-10,Rock,
45715,American Saturday Night,Brad Paisley,67.0,15.0,4/1/10,30-Jun-09,Country,
45716,Alice,Avril Lavigne,71.0,3.0,4/1/10,29-Jan-10,"Canada,Rock",
45718,Ain't Leavin Without You,Jaheim,93.0,4.0,4/1/10,23-Oct-09,R&;B,
45719,1901,Phoenix,84.0,13.0,4/1/10,25-May-09,"Adult Alternative,Alternative Rock,Synth Rock,Electronic Rock,Indie Rock,Rock",
45766,Two Is Better Than One,Boys Like Girls,18.0,21.0,3/25/10,19-Oct-09,"Pop Country,Pop-Rock,Pop-Punk,Ballad,Country,Pop",Taylor Swift
45785,If You Only Knew,Shinedown,42.0,20.0,3/25/10,24-Jun-08,Rock,
45800,History In The Making,Darius Rucker,61.0,20.0,3/25/10,,"Country,Rock",
45807,Driving Me Crazy,Sam Adams,,,3/25/10,,Rap,
45809,Never Let You Go,Justin Bieber,21.0,2.0,3/25/10,2-Mar-10,"R&;B,Canada,Pop",
45810,Ooh Baby,Mario,,,3/25/10,1-Mar-10,"R&;B,Rap",
45812,Vanilla Twilight,Owl City,72.0,5.0,3/25/10,14-Jul-09,"Electronic,Pop",
45889,My Best Days Are Ahead Of Me,Danny Gokey,,,3/18/10,2-Mar-10,Pop,
45892,I Invented Sex,Trey Songz,42.0,20.0,3/18/10,13-Oct-09,"R&;B,Rap",Drake
45896,Follow Me Down,3OH!3,89.0,2.0,3/18/10,7-Mar-10,"Electro-Pop,Dance-Pop,Pop",Neon Hitch
45902,Shut It Down,Pitbull,42.0,14.0,3/18/10,28-Aug-09,Rap,Akon
45904,Knockout,Lil Wayne,44.0,5.0,3/18/10,2-Feb-10,"Rock,Pop-Punk,Punk Rock,Rap",Nicki Minaj
45947,Already Gone,Kelly Clarkson,13.0,31.0,3/11/10,11-Aug-09,"R&;B,Pop",
45949,Use Somebody,Kings Of Leon,4.0,57.0,3/11/10,19-Sep-08,"Pop-Rock,Pop,Rock",
45950,Forever,Drake,8.0,24.0,3/11/10,27-Aug-09,"NBA,Canada,R&;B,Basketball,Soundtrack,Rap","Kanye West, Lil Wayne, Eminem"
45953,Meet Me Halfway,The Black Eyed Peas,7.0,24.0,3/11/10,23-Sep-09,"Pop,New Wave,Dance-Pop",
45954,Paparazzi,Lady Gaga,6.0,27.0,3/11/10,19-Aug-08,"Dance-Pop,Pop",
45979,Cryin' For Me,Toby Keith,73.0,12.0,3/11/10,,"Country,Rock",
45984,White Liar,Miranda Lambert,38.0,20.0,3/11/10,17-Aug-09,"Country,News",
45987,Pants On The Ground,General Larry Platt,46.0,3.0,3/11/10,4-Feb-10,Rap,
45993,Gangsta Luv,Snoop Dogg,35.0,19.0,3/11/10,6-Oct-09,Rap,The
45998,Rain,Creed,91.0,3.0,3/11/10,,"Adult Alternative,Pop-Rock,Country,Roots,Rock",
45999,Didn't You Know How Much I Loved You,Kellie Pickler,97.0,2.0,3/11/10,31-Oct-06,"Country,Rock",
46049,Party In The U.S.A.,Miley Cyrus,2.0,28.0,3/4/10,11-Aug-09,Pop,
46071,3,Britney Spears,1.0,20.0,3/4/10,2-Oct-09,"Electronic,Dance,Electro-Pop,Pop",
46072,Money To Blow,Birdman,26.0,20.0,3/4/10,16-Sep-09,Rap,"Lil Wayne, Drake"
46076,StarStruck,Christopher Wilde,,,3/4/10,9-Feb-10,"Disney,Soundtrack,Pop",
46094,Southern Voice,Tim McGraw,49.0,18.0,3/4/10,21-Sep-09,"Country,Rock",
46095,Never Gonna Be Alone,Nickelback,58.0,17.0,3/4/10,17-Nov-08,"Ballad,Acoustic,Pop-Rock,Rock",
46096,Up Out My Face,Mariah Carey,,,3/4/10,26-Jan-10,"R&;B,Pop",Nicki Minaj
46179,I Wanna Make You Close Your Eyes,Dierks Bentley,52.0,20.0,2/25/10,3-Feb-09,Country,
46181,I Can Transform Ya,Chris Brown,20.0,19.0,2/25/10,29-Sep-09,"DMV,Crunk,Rap","Lil Wayne, Swizz Beatz"
46188,Spotlight,Gucci Mane,42.0,16.0,2/25/10,19-Oct-09,"R&;B,Rap",Usher
46190,You And Me,Dave Matthews Band,57.0,2.0,2/25/10,2-Jun-09,Rock,
46192,Set The Fire To The Third Bar,Snow Patrol,54.0,5.0,2/25/10,13-Nov-06,Rock,Martha Wainwright
46238,Evacuate The Dancefloor,Cascada,25.0,26.0,2/18/10,29-Jun-09,Pop,
46242,Sweet Dreams,Beyonce,10.0,29.0,2/18/10,18-Nov-08,"R&;B,Pop",
46266,fuck Today,Lil Wayne,,,2/18/10,1-Jan-10,Rap,Gudda
46282,Consider Me Gone,Reba,38.0,19.0,2/18/10,,Country,
46285,Major Tom,Shiny Toy Guns,,,2/18/10,15-Dec-09,Pop,
46333,Fallin' For You,Colbie Caillat,12.0,31.0,2/11/10,26-Jun-09,Pop,
46335,Lean On Me,"Sheryl Crow, Kid Rock, Keith Urban",,,2/11/10,,Pop,
46349,Cowboy Casanova,Carrie Underwood,11.0,20.0,2/11/10,14-Sep-09,Country,
46360,Breathless,Taylor Swift,,,2/11/10,,"Country,Pop",
46372,Stranded,Jay,16.0,2.0,2/11/10,,R&;B,
46377,One Less Lonely Girl,Justin Bieber,16.0,16.0,2/11/10,6-Oct-09,"Canada,Pop",
46378,My City Of Ruins,Eddie Vedder,,,2/11/10,,Pop,
46380,Eight Second Ride,Jake Owen,70.0,13.0,2/11/10,25-Jul-06,"Country,R&;B,Rock",
46383,Papers,Usher,31.0,16.0,2/11/10,16-Oct-09,"Producer,R&;B,Pop",
46384,Let It Be,Jennifer Hudson,,,2/11/10,,Pop,The Roots
46385,Hurry Home,Jason Michael Carroll,,,2/11/10,,Pop,
46426,Fifteen,Taylor Swift,23.0,21.0,2/4/10,11-Nov-08,"Pop Country,Country,Pop",
46459,Uprising,Muse,37.0,20.0,2/4/10,14-Sep-09,"Soundtrack,Alternative Rock,Progressive Rock,Art Rock,Rock",
46479,Break,Three Days Grace,73.0,20.0,2/4/10,1-Sep-09,"Alternative Rock,Rock",
46480,Crawl,Chris Brown,53.0,9.0,2/4/10,23-Nov-09,"DMV,Pop,R&;B",
46482,Baby By Me,50 Cent,28.0,13.0,2/4/10,10-Sep-09,Rap,Ne
46483,Give It Up To Me,Shakira,29.0,11.0,2/4/10,19-Oct-09,"Rap,Synth-Pop,Pop",Lil Wayne
46484,Russian Roulette,Rihanna,9.0,14.0,2/4/10,27-Oct-09,"Soul Pop,Neo Soul,Synth-Pop,R&;B,Pop",
46556,Ready To Love Again,Lady Antebellum,,,1/28/10,26-Jan-10,"Pop,Country",
46558,Do I,Luke Bryan,34.0,20.0,1/28/10,4-May-09,"Country,Rock",
46576,I Will Not Bow,Breaking Benjamin,40.0,20.0,1/28/10,29-Sep-09,"Post-Grunge,Alternative Metal,Alternative Rock,Rock",
46580,Hot Mess,Cobra Starship,64.0,5.0,1/28/10,11-Aug-09,"Blues,Rock",
46624,One Time,Justin Bieber,17.0,25.0,1/21/10,18-May-09,"Canada,Pop",
46664,Red Light,David Nail,54.0,16.0,1/21/10,2-Feb-09,Pop,
46675,Love This Pain,Lady Antebellum,,,1/21/10,26-Jan-10,"Pop,Country",
46680,Bad Habits,Maxwell,71.0,14.0,1/21/10,9-Jun-09,"Neo Soul,Soul,R&;B",
46715,Run This Town,Jay,2.0,23.0,1/14/10,8-Sep-09,"Rap Rock,R&;B,Pop,Rap",
46764,Funhouse,P!nk,44.0,13.0,1/14/10,24-Oct-08,"Funk,Pop,Rock",
46766,Drop It Low,Ester Dean,38.0,17.0,1/14/10,1-Dec-09,"R&;B,Rap",Chris Brown
46774,Gettin' You Home,Chris Young,33.0,20.0,1/14/10,,Country,
46780,I Want You To,Weezer,81.0,9.0,1/14/10,18-Aug-09,"Alternative Rock,Power Pop,Pop-Punk,Rock",
46861,Music Box,Eminem,,,1/7/10,21-Dec-09,"Horrorcore,Rap",
46874,Bonfire,Craig Morgan,57.0,14.0,1/7/10,,Pop,
46877,Video Phone,Beyonce,65.0,5.0,1/7/10,22-Sep-09,"Crunk,R&;B,Pop",Lady Gaga
46879,Kings And Queens,Thirty Seconds To Mars,82.0,5.0,1/7/10,4-Dec-09,"Alternative Rock,Alternative,Rock",
46908,Hell Breaks Loose,Eminem,,,12/31/09,15-Dec-09,"Horrorcore,Rap",Dr. Dre
46945,Elevator,Eminem,,,12/31/09,15-Dec-09,Rap,
46962,On Fire,Lil Wayne,62.0,2.0,12/31/09,2-Feb-10,Rap,
46974,I Get It In,Omarion,83.0,7.0,12/31/09,24-Nov-09,"R&;B,Rap",Gucci Mane
47027,My Life Would Suck Without You,Glee Cast,,,12/24/09,4-Dec-09,"TV,Soundtrack,Screen,Pop-Rock,Cover,Pop",
47029,Don't Rain On My Parade,Glee Cast,,,12/24/09,4-Dec-09,"TV,Big Band,Musicals,Cover,Pop,Screen,Soundtrack",
47047,You Can't Always Get What You Want,Glee Cast,,,12/24/09,4-Dec-09,"TV,Screen,Soundtrack,A Cappella,Cover,Pop",
47048,This Is War,Thirty Seconds To Mars,,,12/24/09,4-Dec-09,Rock,
47064,What I Do,Chris Brown,,,12/24/09,9-Dec-09,"DMV,Rap",Plies
47070,And I Am Telling You I'm Not Going,Glee Cast,,,12/24/09,4-Dec-09,"Soundtrack,TV,Screen,Musicals,R&;B,Soul,Cover,Pop",
47075,Twang,George Strait,,,12/24/09,,"Country,Rock",
47130,Toes,Zac Brown Band,25.0,20.0,12/17/09,18-Nov-08,"Country,Rock",
47135,Say Hey,"Michael Franti, Spearhead",18.0,20.0,12/17/09,2-Jun-08,"Dancehall,Ska Punk,Ska,Adult Alternative,Pop,Reggae,Rap",Cherine Anderson
47136,Morning After Dark,Timbaland,61.0,2.0,12/17/09,26-Oct-09,"Pop,Rap","Nelly Furtado, SoShy"
47165,Wheels,Foo Fighters,72.0,10.0,12/17/09,29-Sep-09,Rock,
47167,All I Ask For Anymore,Trace Adkins,95.0,2.0,12/17/09,25-Nov-08,Country,
47171,Regret,LeToya,78.0,8.0,12/17/09,24-Aug-09,Pop,Ludacris
47213,She Wolf,Shakira,11.0,20.0,12/10/09,10-Jul-09,"Dance,Electro-Pop,Electronic,Pop",
47221,Obsessed,Mariah Carey,7.0,21.0,12/10/09,16-Jun-09,"Hip-Hop,Beef,R&;B,Pop",
47232,For Your Entertainment,Adam Lambert,61.0,2.0,12/10/09,27-Oct-09,"Pop-Rock,Glam Rock,Pop",
47264,It's Your Life,Francesca Battistelli,,,12/10/09,,Pop,
47265,Doesn't Mean Anything,Alicia Keys,60.0,10.0,12/10/09,22-Sep-09,"Pop,Neo Soul,R&;B",
47266,We Weren't Born To Follow,Bon Jovi,68.0,4.0,12/10/09,31-Aug-09,Rock,
47267,Wild Horses,Susan Boyle,,,12/10/09,15-Nov-09,Pop,
47314,Break Up,Mario,14.0,23.0,12/3/09,28-Apr-09,"Crunk,East Coast,Electro-Pop,Pop,R&;B,Rap","Gucci Mane, Sean Garrett"
47315,Hotel Room Service,Pitbull,8.0,23.0,12/3/09,16-Jun-09,"Pop,Rap",
47332,Don't Stand So Close To Me / Young Girl,Glee Cast,,,12/3/09,4-Dec-09,"TV,Mashup,Cover,Screen,Soundtrack,Pop",
47340,I'll Stand By You,Glee Cast,,,12/3/09,4-Dec-09,"Screen,TV,Soundtrack,Cover,Ballad,Pop",
47341,Defying Gravity,Glee Cast,31.0,3.0,12/3/09,2-Nov-09,"Cover,Screen,Soundtrack,TV,Musicals,Pop",
47344,Endless Love,Glee Cast,,,12/3/09,4-Dec-09,"Cover,Ballad,Screen,Soundtrack,Pop",
47345,Down To Earth,Justin Bieber,,,12/3/09,17-Nov-09,"Canada,Pop",
47350,5 Star,Yo Gotti,79.0,2.0,12/3/09,10-Jan-12,"Remix,Rap",
47351,Only You Can Love Me This Way,Keith Urban,34.0,19.0,12/3/09,,"Ballad,Country,Rock",
47353,Welcome To The Future,Brad Paisley,42.0,16.0,12/3/09,13-Jul-09,Country,
47360,Bigger,Justin Bieber,,,12/3/09,17-Nov-09,"Canada,Pop",
47363,The Invitation,50 Cent,,,12/3/09,9-Nov-09,Rap,
47365,First Dance,Justin Bieber,,,12/3/09,17-Nov-09,"Canada,Pop",Usher
47410,Love Drunk,Boys Like Girls,22.0,20.0,11/26/09,30-Jun-09,"Pop,Pop-Punk,Pop-Rock",
47412,Good Girls Go Bad,Cobra Starship,7.0,25.0,11/26/09,11-May-09,"Alternative,Blues,Rock",Leighton Meester
47437,Favorite Girl,Justin Bieber,26.0,2.0,11/26/09,2-Nov-09,"Canada,Pop",
47448,Successful,Drake,17.0,18.0,11/26/09,13-Feb-09,"DMV,Canada,Rap","Trey Songz, Lil Wayne"
47451,Whatever You Like,Anya Marina,,,11/26/09,,Pop,
47453,God In Me,Mary Mary,68.0,20.0,11/26/09,21-Oct-08,"R&;B,Gospel","Kierra ""KiKi"" Sheard"
47454,Jump Then Fall,Taylor Swift,10.0,3.0,11/26/09,27-Oct-09,"Country,Pop",
47459,American Ride,Toby Keith,35.0,16.0,11/26/09,28-Jul-09,"Country,Rock",
47463,Undertow,Timbaland,,,11/26/09,8-Dec-09,"Pop,Rap","The Fray, Esthero"
47507,Throw It In The Bag,Fabolous,14.0,23.0,11/19/09,18-Aug-09,"Producer,Rap",The
47521,21 Guns,Green Day,22.0,20.0,11/19/09,25-May-09,"Alternative Rock,Rock",
47542,Starstrukk,3OH!3,66.0,12.0,11/19/09,8-Sep-09,Rap,Katy Perry
47544,Number One,R. Kelly,59.0,11.0,11/19/09,28-Jul-09,"Soul,R&;B",Keri Hilson
47546,Face Drop,Sean Kingston,61.0,9.0,11/19/09,,Pop,
47549,Ain't No Rest For The Wicked,Cage The Elephant,83.0,11.0,11/19/09,16-Jun-08,"Adult Alternative,Alternative Rock,Indie Rock,Rock",
47554,The Other Side Of The Door,Taylor Swift,23.0,2.0,11/19/09,11-Nov-08,"Country,Pop",
47585,Superstar,Taylor Swift,,,11/12/09,11-Nov-08,"Country,Pop",
47589,Come In With The Rain,Taylor Swift,,,11/12/09,11-Nov-08,"Country,Pop",
47640,Be On You,Flo Rida,19.0,16.0,11/12/09,6-Oct-09,Rap,Ne
47646,Under,Pleasure P,78.0,10.0,11/12/09,5-Jun-09,"R&;B,Rap",
47649,Good Morning,Chamillionaire,40.0,3.0,11/12/09,13-Oct-09,"Pop,Rap",
47655,You're A Jerk,New Boyz,24.0,20.0,11/12/09,15-Sep-09,Rap,
47689,Sweet Caroline,Glee Cast,,,11/5/09,2-Nov-09,"Adult Contemporary,Cover,Screen,Soundtrack,TV,Pop",
47698,I Know You Want Me,Pitbull,2.0,35.0,11/5/09,25-May-09,"Eurodance,Rap",
47700,Boom Boom Pow,The Black Eyed Peas,1.0,33.0,11/5/09,28-Jan-09,"Electronic,Dance,Pop,Rap",
47702,Knock You Down,Keri Hilson,3.0,31.0,11/5/09,24-Mar-09,"Pop,R&;B,Rap","Kanye West, Ne"
47703,Big Green Tractor,Jason Aldean,18.0,20.0,11/5/09,26-May-09,"Country,Rock",
47704,Time For Miracles,Adam Lambert,,,11/5/09,18-Oct-09,"Pop-Rock,Glam Rock,Pop",
47732,Take Your Shirt Off,T,,,11/5/09,9-Oct-09,"Crunk,Rap",
47744,Bust A Move,Glee Cast,,,11/5/09,2-Nov-09,"R&;B,Cover,Screen,Soundtrack,TV,Rap",
47799,No Surprise,Daughtry,15.0,24.0,10/29/09,6-May-09,Rap,
47812,No Air,Glee Cast,,,10/29/09,2-Nov-09,"Cover,Screen,R&;B,Soundtrack,TV,Pop",
47815,Small Town USA,Justin Moore,44.0,20.0,10/29/09,10-Feb-09,"Country,Rock",
47817,It's My Life / Confessions Part II,Glee Cast,30.0,2.0,10/29/09,14-Sep-10,"Mashup,TV,Screen,Soundtrack,Cover,Pop",
47821,Nobody,Wonder Girls,,,10/29/09,22-Sep-08,"K-Pop (\xec\xbc\x80\xec\x9d\xb4\xed\x8c\x9d),Korean,Pop",
47828,Chances,Five For Fighting,,,10/29/09,21-Jul-09,"Pop,Pop-Rock,Rock",
47829,Halo / Walking On Sunshine,Glee Cast,40.0,2.0,10/29/09,,"TV,Screen,Soundtrack,Cover,Mashup,Pop",
47838,Hell Of A Life,T.I.,54.0,2.0,10/29/09,6-Oct-08,Rap,
47844,Notion,Kings Of Leon,,,10/29/09,29-Jun-09,Rock,
47888,Battlefield,Jordin Sparks,10.0,22.0,10/22/09,8-May-09,"R&;B,Pop",
47894,Please Don't Leave Me,P!nk,17.0,26.0,10/22/09,24-Oct-08,"Pop,Rock",
47901,Ice Cream Paint Job,Dorrough,27.0,20.0,10/22/09,7-Apr-09,Rap,
47925,Love Your Love The Most,Eric Church,63.0,16.0,10/22/09,9-Feb-09,"Country,Rock",
47932,Sounds Like Life To Me,Darryl Worley,84.0,11.0,10/22/09,,Pop,
47933,The Fixer,Pearl Jam,56.0,7.0,10/22/09,24-Aug-09,Rock,
47936,I'm In Miami Trick,LMFAO,51.0,20.0,10/22/09,,Pop,
47938,Check My Brain,Alice In Chains,92.0,4.0,10/22/09,17-Aug-09,Rock,
47986,Waking Up In Vegas,Katy Perry,9.0,23.0,10/15/09,17-Jun-08,"Pop-Rock,Power Pop,Pop",
47989,Pretty Wings,Maxwell,33.0,23.0,10/15/09,28-Apr-09,"Neo Soul,Soul,R&;B",
47997,Her Diamonds,Rob Thomas,23.0,20.0,10/15/09,22-Apr-09,Pop,
